	Date	estimate	change	upper	lower
1	2018-03-28	5.077695589135412	-0.01880046829710924	5.354985835506555	4.8076730280037845
2	2018-03-29	5.052514383580126	-0.02518120555528558	5.336712389957439	4.781695941692986
3	2018-03-30	5.040495301730652	-0.012019081849474311	5.3271594752873375	4.763379215508271
5	2018-04-01	5.079964473281917	0.03946917155126517	5.378310065028956	4.820767334386012
6	2018-04-02	5.108593532665021	0.028629059383104227	5.378107051432615	4.83627252856069
7	2018-04-03	5.126742391531061	0.018148858866039674	5.410192078384362	4.860195862866106
8	2018-04-04	5.136502110328974	0.009759718797912598	5.393478329052403	4.842816996942416
9	2018-04-05	5.148295254126765	0.011793143797791394	5.434784425001444	4.878301159264637
10	2018-04-06	5.169589103725203	0.02129384959843783	5.462258844955241	4.902140744798958
12	2018-04-08	5.229036394631899	0.05944729090669654	5.491025091953552	4.943161781032499
13	2018-04-09	5.257554190933121	0.02851779630122131	5.530415860766806	4.9889976101367095
14	2018-04-10	5.28800382420877	0.030449633275649646	5.559737559703663	5.028517310431375
15	2018-04-11	5.3247487524792	0.036744928270429966	5.613613406558295	5.0553103945901166
16	2018-04-12	5.364423340354521	0.03967458787532063	5.627174242774283	5.100407685034234
17	2018-04-13	5.395333638760614	0.030910298406093162	5.661449854989254	5.121766970368724
19	2018-04-15	5.400951567406821	0.005617928646207027	5.671985919770381	5.13240256151633
20	2018-04-16	5.391935073060905	-0.009016494345916115	5.663680571567108	5.109217376150779
21	2018-04-17	5.395738687924856	0.00380361486395131	5.670703421743386	5.114589467005156
22	2018-04-18	5.414768622576637	0.0190299346517806	5.710168697625475	5.141448356677603
23	2018-04-19	5.434455274737035	0.019686652160397777	5.714640773889341	5.17003359607773
24	2018-04-20	5.435106914122705	0.0006516393856701441	5.719731277518263	5.160176123017398
26	2018-04-22	5.368643840567048	-0.06646307355565728	5.631586075416969	5.0863380478790985
27	2018-04-23	5.334499733893769	-0.03414410667327861	5.612630716740677	5.06432281058852
28	2018-04-24	5.318776710482037	-0.015723023411731596	5.575854397226176	5.04614602811254
29	2018-04-25	5.313823132580137	-0.004953577901900097	5.5955272573316455	5.031307259347589
30	2018-04-26	5.299325062131411	-0.01449807044872653	5.563976017155855	5.018008016422757
31	2018-04-27	5.2603718240282396	-0.038953238103171195	5.541843769956092	4.983722874441738
33	2018-04-29	5.137944131078367	-0.12242769294987266	5.42445072044744	4.865249768672545
34	2018-04-30	5.090421923254662	-0.047522207823704754	5.372549249103484	4.819148279936076
35	2018-05-01	5.060463284011934	-0.02995863924272779	5.344667580572987	4.795991551629235
36	2018-05-02	5.035906646721519	-0.024556637290415573	5.3134224817292	4.776669827998779
37	2018-05-03	5.00251445913021	-0.0333921875913088	5.2692146120686925	4.718810945728806
38	2018-05-04	4.956733760583104	-0.04578069854710609	5.228530379140706	4.691416795015408
40	2018-05-06	4.865460231674225	-0.09127352890887863	5.142953903057396	4.611618064511745
41	2018-05-07	4.835558895175937	-0.029901336498288522	5.107562552529184	4.562979330874109
42	2018-05-08	4.813436720463122	-0.022122174712814413	5.087856779816817	4.545976417605546
43	2018-05-09	4.794382420553368	-0.01905429990975449	5.064308297935307	4.520790373406577
44	2018-05-10	4.77997112224441	-0.014411298308957932	5.053946882333309	4.508855104423218
45	2018-05-11	4.776270182277145	-0.003700939967265171	5.0439850574375615	4.500174390468009
47	2018-05-13	4.79941673004316	0.023146547766015324	5.081228365255433	4.507682149713647
48	2018-05-14	4.806485503376682	0.0070687733335219605	5.06903979309809	4.542434750166539
49	2018-05-15	4.8013965859384315	-0.005088917438250462	5.085458724493556	4.520913059889145
50	2018-05-16	4.793228807034709	-0.008167778903722223	5.076292367458237	4.5011712257361
