	Date	estimate	change	upper	lower
1	2018-03-28	256.2719398279613	-0.30065122139058076	263.07242868920326	249.83687448314095
2	2018-03-29	256.3931350393381	0.12119521137680067	263.1611838981649	250.16400912997764
3	2018-03-30	256.8873376120497	0.494202572711572	263.29674364228805	250.22267011935008
5	2018-04-01	257.89654121738687	1.0092036053371771	264.1918321480729	251.27481407877855
6	2018-04-02	258.0564860214336	0.15994480404674505	265.42222794992205	251.19447246431918
7	2018-04-03	258.1396519793175	0.08316595788386394	264.47432497000557	251.59107987935667
8	2018-04-04	258.40190133907197	0.2622493597544917	265.229609129335	252.1500801026084
9	2018-04-05	258.9561243006594	0.5542229615874135	265.48240219445285	252.35757012879907
10	2018-04-06	259.6939259029933	0.7378016023339455	266.91387516324653	253.07643143152603
12	2018-04-08	260.9647215173957	1.2707956144023456	267.4502915896001	254.60173030141527
13	2018-04-09	261.4199013431702	0.45517982577450766	268.0524541488802	254.66441439914382
14	2018-04-10	261.8976381723555	0.4777368291853463	268.725497714554	255.29955147566187
15	2018-04-11	262.45597343237034	0.5583352600148146	268.9866972196239	255.87132749978065
16	2018-04-12	263.02551432971416	0.5695408973438134	269.9160906290938	256.61943757668473
17	2018-04-13	263.4974097933771	0.4718954636629178	270.2808325831502	256.84921429799834
19	2018-04-15	264.220590833372	0.7231810399949268	270.9607334317964	258.1490933360075
20	2018-04-16	264.72352621438887	0.5029353810168686	271.3478552282033	258.4842193026119
21	2018-04-17	265.3828896368167	0.6593634224278162	272.10517855111254	258.1984522529974
22	2018-04-18	266.06483573418694	0.6819460973702576	272.8533357820984	260.11950355058747
23	2018-04-19	266.6044189202269	0.5395831860399767	273.3094537436511	259.79449870437446
24	2018-04-20	266.9605139643771	0.35609504415020865	273.2960796075092	259.85972601899005
26	2018-04-22	267.63080101156606	0.6702870471889355	274.66646753000896	261.35873493900704
27	2018-04-23	268.12460207452716	0.49380106296109716	274.3503928850733	261.38563610630723
28	2018-04-24	268.5940085049892	0.4694064304620156	275.9224674032976	262.0123983044496
29	2018-04-25	268.8724444821707	0.27843597718151614	275.4250513731888	262.10725624597484
30	2018-04-26	268.9501104787916	0.07766599662090812	275.62685971061853	261.7310046991946
31	2018-04-27	269.0228669424194	0.07275646362779753	275.273533303479	261.80046671439794
33	2018-04-29	269.9916100924448	0.9687431500253751	277.01745211071636	263.3472408981853
34	2018-04-30	270.79409208097417	0.8024819885293937	277.49758881359827	264.49279139257936
35	2018-05-01	271.4419783148044	0.6478862338302065	277.42259788562444	264.0099418597688
36	2018-05-02	271.7421103601535	0.3001320453491303	278.3057460080296	264.6592350567979
37	2018-05-03	271.76232318155417	0.02021282140066205	278.551332367363	264.90083045573175
38	2018-05-04	271.7553178488209	-0.007005332733285741	278.6067800735414	264.63597655679405
40	2018-05-06	272.30989778080874	0.5545799319878597	278.874519271493	265.69477396334395
41	2018-05-07	272.7045404595884	0.39464267877963266	279.31396390049406	265.7658325910928
42	2018-05-08	272.9416218993323	0.2370814397439176	279.7745240896743	265.8745469934885
43	2018-05-09	272.9932762666672	0.051654367334890594	279.5967334213111	266.4193488522684
44	2018-05-10	272.9749052610034	-0.018371005663766482	279.9250225511723	266.2026571170123
45	2018-05-11	273.0053167986834	0.030411537679981393	279.82889188171765	265.71748583340406
47	2018-05-13	273.1183600916803	0.11304329299690608	279.7524111952803	265.86624169880207
48	2018-05-14	273.0366758333758	-0.08168425830450587	280.1410645669525	266.04629860219586
49	2018-05-15	272.90392534971414	-0.13275048366165265	280.1528681741987	265.8857414520965
50	2018-05-16	272.87176504862344	-0.03216030109069834	279.78503905209067	265.70359565505447
51	2018-05-17	273.03588193536217	0.16411688673872504	280.28096601251724	266.1478554492551
52	2018-05-18	273.33531292061343	0.2994309852512629	280.4825645732903	266.64324367022965
54	2018-05-20	273.7223090422871	0.3869961216736897	280.71029412290267	266.64930905415883
55	2018-05-21	273.7401699514334	0.017860909146293125	280.37728736687694	266.6111416575126
56	2018-05-22	273.8142703120798	0.0741003606464119	280.50885886211967	267.04766429699424
