	Date	estimate	change	upper	lower
1	2018-03-28	42.11289051868158	0.08218654657110136	42.98918595680174	41.309013914501996
2	2018-03-29	42.17186934034022	0.05897882165864132	43.11519927672319	41.26913469894006
3	2018-03-30	42.20797033792241	0.036100997582188654	43.17291955330531	41.29184633117674
5	2018-04-01	42.353601711743835	0.14563137382142344	43.23582687837596	41.52594123597578
6	2018-04-02	42.51753554704204	0.16393383529820227	43.46995590522911	41.64020795051069
7	2018-04-03	42.71359485067565	0.19605930363361068	43.67797486643116	41.82737387396986
8	2018-04-04	42.88398106174409	0.17038621106843976	43.838795500723734	41.97569354765433
9	2018-04-05	42.988195347859566	0.10421428611547867	43.90500638601326	42.059600271806296
10	2018-04-06	43.03145339698894	0.04325804912937059	43.93293273263617	42.131774216863704
12	2018-04-08	43.100801824465435	0.06934842747649839	44.02017773202626	42.10801289561325
13	2018-04-09	43.173543795427605	0.07274197096216994	44.099019650717324	42.20754930896454
14	2018-04-10	43.24491771690258	0.07137392147497224	44.10986683514366	42.340481447509724
15	2018-04-11	43.28054782606085	0.03563010915826936	44.15432427313546	42.31256829284443
16	2018-04-12	43.27157656773841	-0.008971258322439724	44.238088952298895	42.337897121470206
17	2018-04-13	43.239897922617416	-0.03167864512099072	44.230392840968456	42.31832588960589
19	2018-04-15	43.209426841260154	-0.03047108135726262	44.14192619459091	42.25531945146761
20	2018-04-16	43.20690064576581	-0.0025261954943402998	44.12843427206689	42.207265201266715
21	2018-04-17	43.18526702083087	-0.021633624934942475	44.09307036319096	42.262945155124356
22	2018-04-18	43.13635858640964	-0.04890843442122872	44.10880506853762	42.234703590457734
23	2018-04-19	43.072057619530895	-0.06430096687874709	44.05130742154807	42.108044804746136
24	2018-04-20	43.00983600185098	-0.062221617679917074	43.966729478536486	41.98147609373882
26	2018-04-22	42.9013920071968	-0.10844399465418064	43.862973088997634	41.93166419456065
27	2018-04-23	42.84114669909664	-0.06024530810015705	43.790705997621174	41.89344916933122
28	2018-04-24	42.7824994307882	-0.058647268308440914	43.71497038847266	41.8315564523578
29	2018-04-25	42.74283974063557	-0.039659690152632265	43.68904205875649	41.83346267452312
30	2018-04-26	42.72995110715075	-0.012888633484820389	43.66982605352365	41.77950359420103
